Produit,Table,Libelle,creation,suppression
BENEFICIAIRE,IR_BEN_R,Référentiel des bénéficiaires (DCIR),,
BENEFICIAIRE,IR_IBA_R,Référentiel des bénéficiaires (DCIRS),,
CARTOGRAPHIE_PATHOLOGIES,CT_DEP_AAAA_GN,Table dépenses de la cartographie des pathologies pour l'année AAAA et l'algorithme N,,
CARTOGRAPHIE_PATHOLOGIES,CT_IDE_AAAA_GN,Table individus de la cartographie des pathologies pour l'année AAAA et l'algorithme N,,
CARTOGRAPHIE_PATHOLOGIES,CT_IND_AAAA_GN,Table pathologies de la cartographie des pathologies pour l'année AAAA et l'algorithme N,,
Causes de décès,KI_CCI_R,Certificats de décès,2013,2015
Causes de décès,KI_ECD_R,Causes de décès,2013,2015
DCIR,ER_ANO_F,Miroir,,
DCIR,ER_ARO_F,"Autre remboursement que régime obligatoire (partie complémentaire CMU-C, Alsace moselle, FNASS,…)",,
DCIR,ER_BIO_F,affinage des actes de biologie,,
DCIR,ER_CAM_F,affinage des actes médicaux (codage CCAM),,
DCIR,ER_CPT_F,Données comptables,,
DCIR,ER_DCT_F,Décomptes,,
DCIR,ER_DTR_F,affinage des actes de transport ,,
DCIR,ER_ETE_F,Informations liées à l'exécution dans un établissement,,
DCIR,ER_INV_F,affinage des actes invalidité,,
DCIR,ER_LOT_F,Lot et numéro de série des prestations affinnées pharmacie,,
DCIR,ER_PHA_F,affinage des actes de pharmacie (officine de ville),,
DCIR,ER_PRS_F,prestations,,
DCIR,ER_RAT_F,affinage des rentes et accidents du travail,,
DCIR,ER_TIP_F,affinage Liste des Produits et Prestations (LPP),,
DCIR,ER_TRS_F,affinage des actes détaillés de transport ,,
DCIR,ER_UCD_F,affinage UCD (pharmacie hospitalière),,
DCIRS,NS_BIO_F,affinage des actes de biologie,,
DCIRS,NS_CAM_F,affinage des actes médicaux (codage CCAM),,
DCIRS,NS_DTR_F,affinage des actes de transport ,,
DCIRS,NS_INV_F,affinage des actes invalidité,,
DCIRS,NS_PHA_F,affinage des actes de pharmacie (officine de ville),,
DCIRS,NS_PRS_F,prestations,,
DCIRS,NS_RAT_F,affinage des rentes et accidents du travail,,
DCIRS,NS_TIP_F,affinage Liste des Produits et Prestations (LPP),,
DCIRS,NS_TRS_F,affinage des actes détaillés de transport ,,
DCIRS,NS_UCD_F,affinage UCD (pharmacie hospitalière),,
DCIR_DCIRS,DA_PRA_R,Référentiel des professionnels de santé,,
DCIR_DCIRS,IR_ACS_R,Affiliations à l’Aide à l’acquisition d’une Complémentaire Santé (ACS) ,,
DCIR_DCIRS,IR_ETM_R,Exonérations du ticket modérateur liées à la personne ,,
DCIR_DCIRS,IR_IMB_R,Référentiel médicalisé des bénéficiaires (ALD),,
DCIR_DCIRS,IR_MAT_R,Maternité,,
DCIR_DCIRS,IR_MTT_R,Médecin traitant,,
DCIR_DCIRS,IR_ORC_R,Affiliations à un organisme complémentaire,,
PMSI HAD,T_HADaa_nnA,Table des actes,2012,2017
PMSI HAD,T_HADaa_nnB,Table des Résumés Anonyme Par Sous-Séquence (RAPSS),2006,2017
PMSI HAD,T_HADaa_nnC,Table des NIR foinisé deux fois et date entrè/sortie complètes,2006,2017
PMSI HAD,T_HADaa_nnD,Table des diagnostics associés,2009,2017
PMSI HAD,T_HADaa_nnDMPA,Table des diagnostics liés au MPA (mode de prise en charge associé),2012,2017
PMSI HAD,T_HADaa_nnDMPP,Table des diagnostics liés au MPP (mode de prise en charge principal),2012,2017
PMSI HAD,T_HADaa_nnE,Table des Etablissements,2015,2017
PMSI HAD,T_HADaa_nnEHPA,Table des conventions HAD-EHPA,2011,2017
PMSI HAD,T_HADaa_nnFA,TableFA : Table des RSFA début de facture des établissements ex-OQN,2010,2017
PMSI HAD,T_HADaa_nnFB,Table FB : Table des RSFA facture des établissements ex-OQN,2010,2017
PMSI HAD,T_HADaa_nnFC,Table FC : Table des RSFA des honoraires des établissements ex-OQN,2010,2017
PMSI HAD,T_HADaa_nnFH,Table FH : Table des RSFA des Médicaments en sus des établissements ex-OQN,2010,2017
PMSI HAD,T_HADaa_nnFI,Table FI : Table des RSFA interruption de séjour des établissements ex-OQN,2016,2017
